,places,longitude,latitude
152,Rosny-sous-Bois,2.4875193,48.8716626
153,Saint-Herblain,-1.6346964,47.2233007
154,Gennevilliers,2.2940122,48.9254221
155,Le Cannet,7.0191865,43.5761076
156,Livry-Gargan,2.5298854,48.917335
157,Saint-Priest,4.54685,44.7177
158,Istres,4.9884323,43.5139051
159,Valenciennes,3.5234846,50.3579317
160,Choisy-le-Roi,2.4093664,48.7630238
161,Caluire-et-Cuire,4.8423304,45.7969952
162,Boulogne-sur-Mer,1.6118771,50.7259985
163,Bastia,9.4509187,42.6993979
164,Angoulême,0.1561947,45.6484505
165,Garges-lès-Gonesse,2.399024,48.9703841
166,Castres,3.2383333,49.8044444
167,Thionville,6.1675872,49.3579272
168,Wattrelos,3.2153907,50.7016015
169,Talence,-0.5879629,44.8088438
170,Saint-Laurent-du-Maroni,-54.0309502,5.498858
171,Douai,3.0804641,50.3675677
172,Noisy-le-Sec,2.4516055,48.8897751
173,Tarbes,0.0781021,43.232858
174,Arras,2.7772211,50.291048
175,Alès,4.0852818,44.1253665
176,La Courneuve,2.3896123,48.9267236
177,Bourg-en-Bresse,5.2250324,46.2051192
178,Compiègne,2.8263171,49.4179497
179,Gap,6.0820639,44.5612032
180,Melun,2.6608169,48.539927
181,Le Lamentin,-61.0018145,14.614557
182,Rezé,-1.5695287,47.1905456
183,Saint-Germain-en-Laye,2.0917742569617808,48.93560465
184,Marcq-en-Barœul,3.1043032,50.6767018
185,Gagny,2.5361783,48.8853708
186,Anglet,-1.5149935,43.4813927
187,Draguignan,6.4627333,43.5374662
188,Chartres,1.4881434,48.4438601
189,Bron,4.9092352,45.7337532
190,Bagneux,3.279444,49.458056
191,Colomiers,1.3282149,43.6121001
192,Saint-Martin-d'Hères,5.75448,45.1836683
193,Pontault-Combault,2.6068064,48.8009132
194,Montluçon,2.6073963,46.3400296
195,Joué-lès-Tours,0.6622353,47.3511161
196,Saint-Joseph,-1.529802,49.5344534
197,Poissy,2.0428293,48.927439
198,Savigny-sur-Orge,2.3458417,48.6794572
199,Cherbourg-Octeville,-1.6285770868661507,49.6343543
200,Montélimar,4.750318,44.5579391
201,Villefranche-sur-Saône,4.726611,45.9864749
202,Stains,2.3825154,48.9565669
203,Saint-Benoît,2.0639828,43.0169012
204,Bagnolet,2.4173658,48.8688199
205,Châtillon,5.7302769,46.6591772
206,Le Port,1.3740316,42.8662832
207,Sainte-Geneviève-des-Bois,2.3259129,48.6407872
208,Échirolles,5.71927,45.1437
209,Roanne,4.0729178,46.0345572
210,Villepinte,2.0855714,43.2814917
211,Saint-Chamond,4.5098046,45.4748298
212,Conflans-Sainte-Honorine,2.0949768,48.9938791
213,Auxerre,3.570579,47.7961287
214,Nevers,3.1577203,46.9876601
215,Neuilly-sur-Marne,2.5290045,48.8565557
216,La Ciotat,5.6062495,43.1758591
217,Tremblay-en-France,2.5589558,48.9802035
218,Thonon-les-Bains,6.4779448,46.3731303
219,Vitrolles,5.9496043,44.4347105
220,Haguenau,7.7885978,48.8172236
221,Six-Fours-les-Plages,5.8393953,43.0935105
222,Agen,0.6176112,44.2015827
223,Creil,2.4733771,49.2607914
224,Annemasse,6.2341093,46.1934005
225,Saint-Raphaël,1.0747165,45.3043079
226,Marignane,5.2146275,43.4162729
227,Romans-sur-Isère,5.0528681,45.0458886
228,Montigny-le-Bretonneux,2.0381228,48.7698937
229,Le Perreux-sur-Marne,2.5077111,48.840627
230,Franconville,6.4527267,48.5000906
231,Mâcon,4.8322266,46.3036683
232,Saint-Leu,55.2881932,-21.1677694
233,Cambrai,3.2346145,50.1757546
234,Châtenay-Malabry,2.2775316,48.7670404
235,Sainte-Marie,6.6967773,47.5091856
