places
'Copenhagen'
'Aarhus'
'Odense'
'Aalborg'
'Frederiksberg'
'Esbjerg'
'Gentofte'
'Gladsaxe'
'Randers'
'Kolding'
'Horsens'
'Lyngby-Taarbæk'
'Vejle'
'Hvidovre'
'Roskilde'
'Helsingør'
'Herning'
'Silkeborg'
'Næstved'
'Greve
'Tårnby'
'Fredericia'
'Ballerup'
'Rødovre'
'Viborg'
'Køge'
'Holstebro'
'Brøndby'
'Taastrup'
'Slagelse'
'Hillerød'
'Albertslund'
'Sønderborg'
'Svendborg'
'Herlev'
'Holbæk'
'Hjørring'
'Hørsholm'
'Frederikshavn'
'Glostrup'
'Haderslev'
'Nørresundby'
'Ringsted'
'Ølstykke-Stenløse'
'Skive'
